city,province,capital,longitude,latitude,,,,
Halifax,Nova Scotia,1,-63.582687,44.65107,,,,
Sydney,Nova Scotia,0,-60.1829,46.1378,,,,
Moncton,New Brunswick,0,-64.7782,46.0878,,,,
Fredericton,New Brunswick,1,-66.66558,45.94541,,,,
Campbellton,New Brunswick,0,-66.6722,48.0074,,,,
Bathurst,New Brunswick,0,-65.6513,47.6184,,,,
Edmundston,New Brunswick,0,-68.3267,47.369,,,,
Saint John,New Brunswick,0,-66.0633,45.2733,,,,
Yarmouth,Nova Scotia,0,-66.1174,43.8375,,,,
Summerside,Prince Edward Island,0,-63.7902,46.3934,,,,
Charlottetown,Prince Edward Island,1,-63.1311,46.2382,,,,
Gasp‚,Quebec,0,-64.4869,48.8316,,,,
Cap-Aux-Meules,Quebec,0,-61.86667,47.38333,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
